X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
36,	-43,404	-83,379	-1,2275e-003
46,	68,5	-18,52	0,29356
46,	68,5	18,52	0,35728
46,	68,5	-13,89	0,24729
46,	68,5	-9,2601	0,25877
46,	68,5	-4,6301	0,2425
46,	68,5	-1,7347e-015	0,25453
46,	68,5	4,6301	0,25366
46,	68,5	9,2601	0,24805
46,	68,5	13,89	0,23913
46,	71,191	14,924	1,0946e-002
46,	73,273	10,943	-1,6586e-002
46,	74,691	6,6805	-2,5215e-002
46,	75,41	2,2461	-2,7503e-002
46,	75,41	-2,2461	-2,9716e-002
46,	74,691	-6,6805	-2,5614e-002
46,	73,273	-10,943	-8,6829e-003
46,	71,191	-14,924	2,008e-002
46,138	68,74	-19,348	0,20383
36,801	52,567	-27,703	-0,63341
44,51	65,919	-21,922	0,32938
42,728	62,832	-24,054	0,28851
40,828	59,542	-25,731	0,15322
38,843	56,104	-26,948	-0,18066
31,268	42,983	-29,11	-0,53715
34,957	49,373	-28,172	-1,0086
33,112	46,178	-28,641	-1,2128
31,268	42,983	29,11	-0,58789
31,268	42,983	-24,258	-0,46356
31,268	42,983	-19,407	-0,50151
31,268	42,983	-14,555	-0,4697
31,268	42,983	-9,7034	-0,67813
31,268	42,983	-4,8517	-0,53889
31,268	42,983	-3,4694e-015	-0,60865
31,268	42,983	4,8517	-0,74451
31,268	42,983	9,7034	-0,76641
31,268	42,983	14,555	-0,51655
31,268	42,983	19,407	-0,43109
31,268	42,983	24,258	-0,45936
36,801	52,567	27,703	-0,60033
33,112	46,178	28,641	-1,1894
34,957	49,373	28,172	-0,98514
46,138	68,74	19,348	0,21479
38,843	56,104	26,948	-0,14966
40,828	59,542	25,731	8,078e-002
42,728	62,832	24,054	0,27641
44,51	65,919	21,922	0,32067
37,351	52,448	-29,054	-0,60435
37,351	52,448	29,054	-0,60991
53,	47,5	-27,	1,9968
53,	50,47	-26,836	1,4761
53,	53,404	-26,347	1,1043
53,	56,267	-25,537	0,84175
53,	59,023	-24,418	0,60597
53,	61,639	-23,002	0,47962
53,	64,084	-21,307	0,50633
53,	66,327	-19,353	0,37765
53,	68,342	-17,165	0,35648
53,	70,103	-14,768	0,30985
53,	71,591	-12,191	0,22744
53,	72,786	-9,4672	0,17526
53,	73,674	-6,6281	0,13588
53,	74,244	-3,7085	9,3402e-002
53,	74,49	-0,74397	2,9402e-002
53,	74,408	2,2296	5,2671e-002
53,	73,999	5,1762	4,0612e-002
53,	73,269	8,0599	0,14935
53,	72,226	10,846	0,23147
53,	70,883	13,5	0,29767
53,	69,256	15,99	0,33701
53,	67,365	18,287	0,3618
53,	65,232	20,361	0,4186
53,	62,885	22,188	0,50622
53,	60,351	23,746	0,65189
53,	57,66	25,015	0,78932
53,	54,847	25,981	1,0825
53,	51,944	26,632	1,2785
53,	48,987	26,959	1,8047
53,	46,013	26,959	2,3361
53,	43,056	26,632	3,0275
53,	40,153	25,981	3,8192
53,	37,34	25,015	4,5713
53,	34,649	23,746	5,5407
53,	32,115	22,188	6,0253
53,	29,768	20,361	6,9249
53,	27,635	18,287	6,855
53,	25,744	15,99	9,0023
53,	24,117	13,5	8,6759
53,	22,774	10,846	7,0906
53,	21,731	8,0599	6,9226
53,	21,001	5,1762	4,7376
53,	20,592	2,2296	8,7749
53,	20,51	-0,74397	10,278
53,	20,756	-3,7085	7,0748
53,	21,326	-6,6281	6,8401
53,	22,214	-9,4672	8,3555
53,	23,409	-12,191	7,581
53,	24,897	-14,768	7,4597
53,	26,658	-17,165	8,9365
53,	28,673	-19,353	7,2118
53,	30,916	-21,307	7,5882
53,	33,361	-23,002	6,4801
53,	35,977	-24,418	5,3702
53,	38,733	-25,537	4,082
53,	41,596	-26,347	3,3645
53,	44,53	-26,836	2,8791
82,	47,5	-27,	-1,9303
82,	50,47	-26,836	-1,4386
82,	53,404	-26,347	-1,1333
82,	56,267	-25,537	-0,82547
82,	59,023	-24,418	-0,69158
82,	61,639	-23,002	-0,53509
82,	64,084	-21,307	-0,52717
82,	66,327	-19,353	-0,41089
82,	68,342	-17,165	-0,30512
82,	70,103	-14,768	-0,31907
82,	71,591	-12,191	-0,28665
82,	72,786	-9,4672	-0,20299
82,	73,674	-6,6281	-0,13659
82,	74,244	-3,7085	-5,6636e-002
82,	74,49	-0,74397	-5,949e-002
82,	74,408	2,2296	-6,7374e-002
82,	73,999	5,1762	-3,6758e-002
82,	73,269	8,0599	-0,12689
82,	72,226	10,846	-0,23233
82,	70,883	13,5	-0,30933
82,	69,256	15,99	-0,3792
82,	67,365	18,287	-0,37353
82,	65,232	20,361	-0,38755
82,	62,885	22,188	-0,51084
82,	60,351	23,746	-0,62665
82,	57,66	25,015	-0,76008
82,	54,847	25,981	-1,1279
82,	51,944	26,632	-1,2201
82,	48,987	26,959	-1,7057
82,	46,013	26,959	-2,2545
82,	43,056	26,632	-2,9849
82,	40,153	25,981	-3,7188
82,	37,34	25,015	-5,2917
82,	34,649	23,746	-5,6353
82,	32,115	22,188	-6,3157
82,	29,768	20,361	-7,7817
82,	27,635	18,287	-7,3224
82,	25,744	15,99	-9,2643
82,	24,117	13,5	-7,9262
82,	22,774	10,846	-8,1293
82,	21,731	8,0599	-8,5129
82,	21,001	5,1762	-7,935
82,	20,592	2,2296	-9,7529
82,	20,51	-0,74397	-7,5341
82,	20,756	-3,7085	-6,9572
82,	21,326	-6,6281	-7,7612
82,	22,214	-9,4672	-8,8667
82,	23,409	-12,191	-8,9537
82,	24,897	-14,768	-8,8085
82,	26,658	-17,165	-8,534
82,	28,673	-19,353	-6,8117
