X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
31,	41,983	11,633	-8,9632e-002
31,	41,983	6,9797	-0,12766
31,	41,983	2,3266	0,11098
31,	41,983	-2,3266	-5,7505e-003
31,	41,983	-6,9797	2,3855e-002
31,	41,983	-11,633	2,4377e-002
31,	41,983	-16,286	-0,23701
31,	41,983	-20,939	-0,45835
31,	41,983	-25,592	-0,56096
31,	38,81	-31,598	-0,62737
31,	5,3602	-36,509	-0,11782
31,	34,031	-32,299	-0,94526
31,	29,253	-33,001	-1,0838
31,	24,474	-33,702	-1,0939
31,	19,696	-34,404	-0,82434
31,	14,917	-35,105	-0,53803
31,	10,139	-35,807	-0,26382
31,	-17,039	-32,731	7,7514
31,	-12,82	-34,602	-1,3025
31,	-8,4004	-35,931	-0,41857
31,	-3,8497	-36,699	-0,11699
31,	0,76119	-36,892	-9,6744e-002
31,	-43,404	-83,379	-6,4536e-004
31,	-41,207	-79,158	0,22693
31,	-39,01	-74,938	0,42759
31,	-36,813	-70,717	0,61648
31,	-34,616	-66,496	0,81672
31,	-32,419	-62,276	0,98397
31,	-30,221	-58,055	1,2193
31,	-28,024	-53,834	1,4176
31,	-25,827	-49,613	1,8166
31,	-23,63	-45,393	2,1823
31,	-21,433	-41,172	2,9348
31,	-19,236	-36,951	4,9931
31,	-43,404	83,379	2,0102e-004
31,	-47,675	-81,013	1,3557e-002
31,	-51,817	-78,428	6,6531e-002
31,	-55,819	-75,632	0,14009
31,	-59,671	-72,632	0,21783
31,	-63,361	-69,436	0,29358
31,	-66,881	-66,052	0,36184
31,	-70,22	-62,491	0,40835
31,	-73,37	-58,761	0,44697
31,	-76,322	-54,872	0,46827
31,	-79,068	-50,835	0,47017
31,	-81,601	-46,661	0,46358
31,	-83,914	-42,362	0,44167
31,	-86,	-37,948	0,40895
31,	-87,854	-33,431	0,37394
31,	-89,471	-28,825	0,32822
31,	-90,847	-24,14	0,28152
31,	-91,978	-19,391	0,22609
31,	-92,861	-14,589	0,17288
31,	-93,493	-9,748	0,11517
31,	-93,873	-4,8806	6,0598e-002
