X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Stress (MPa)
51,	46,007	28,962	0,91182
51,	48,993	28,962	0,16959
51,	51,963	28,655	-0,29742
51,	54,885	28,044	-0,75142
51,	57,73	27,136	-0,75525
51,	60,466	25,94	-0,69073
51,	63,064	24,469	-0,58277
51,	65,498	22,739	-0,25989
51,	67,74	20,768	-9,9313e-002
51,	69,769	18,577	-1,4448e-002
51,	71,561	16,189	3,4174e-002
51,	73,098	13,629	4,5935e-002
51,	74,363	10,925	4,0019e-002
51,	75,344	8,1051	2,4964e-002
51,	76,03	5,1991	2,4964e-002
51,	76,414	2,2381	3,5598e-002
51,	76,49	-0,74669	1,974e-002
51,	76,26	-3,7236	2,0373e-002
51,	75,725	-6,6609	3,1437e-002
51,	74,89	-9,5277	4,7537e-002
51,	73,765	-12,294	-1,4037e-002
51,	72,362	-14,929	-4,1362e-002
51,	70,695	-17,406	-3,3604e-002
51,	68,783	-19,699	-0,19069
51,	66,644	-21,783	-0,25092
51,	64,303	-23,636	-0,89012
51,	61,784	-25,238	-1,2991
51,	59,113	-26,573	-1,0899
51,	56,319	-27,626	-0,54808
51,	53,432	-28,387	-0,21696
51,	50,482	-28,846	0,18924
51,	-43,404	-83,379	1,5688e-003
51,	-17,039	-32,731	0,23653
51,	-41,207	-79,158	2,8511e-003
51,	-39,01	-74,938	9,821e-003
51,	-36,813	-70,717	7,8688e-003
51,	-34,616	-66,496	1,6266e-002
51,	-32,419	-62,276	2,0043e-002
51,	-30,221	-58,055	1,6275e-002
51,	-28,024	-53,834	2,1999e-002
51,	-25,827	-49,613	1,5515e-002
51,	-23,63	-45,393	5,697e-002
51,	-21,433	-41,172	1,2594e-002
51,	-19,236	-36,951	-0,48789
51,	5,3602	-36,509	3,3455e-002
51,	-12,82	-34,602	1,0895
51,	-8,4004	-35,931	6,0833e-002
51,	-3,8497	-36,699	5,9378e-002
51,	0,76119	-36,892	7,4836e-002
51,	51,858	-29,682	0,10073
51,	47,208	-30,364	0,36101
51,	42,558	-31,047	0,33175
51,	37,909	-31,73	8,472e-002
51,	33,259	-32,413	0,16079
51,	28,609	-33,095	0,22706
51,	23,959	-33,778	0,18155
51,	19,31	-34,461	0,14258
51,	14,66	-35,143	0,18913
51,	10,01	-35,826	0,10466
51,	51,858	29,682	-8,7878e-002
51,	56,483	-28,623	-0,31235
51,	60,884	-26,849	-0,93237
51,	64,95	-24,403	-1,0567
51,	68,58	-21,346	-0,39
51,	71,682	-17,755	-0,10642
51,	74,179	-13,72	-2,3505e-002
51,	76,008	-9,3421	8,1581e-003
