X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
51,	-82,785	-44,526	-0,19132
48,631	-81,275	-47,226	-0,21913
48,557	-82,274	-45,465	-0,20263
51,	-79,234	-44,52	0,17047
48,842	-79,551	-46,686	-1,0023e-002
49,087	-81,276	-44,212	-1,4661e-002
51,	-84,985	-40,168	-0,15569
48,631	-84,705	-40,757	-0,16187
48,557	-83,427	-43,313	-0,18337
51,	-82,23	-38,769	0,23571
51,	-80,39	-42,37	0,18973
49,087	-82,432	-42,062	4,5996e-003
51,	-86,956	-35,701	-0,12162
48,631	-85,735	-38,543	-0,1455
48,557	-86,545	-36,688	-0,13179
51,	-83,273	-36,562	0,25207
51,	-88,693	-31,138	-9,1407e-002
48,631	-88,475	-31,753	-9,5633e-002
48,557	-87,468	-34,428	-0,11408
51,	-85,522	-29,796	0,35877
51,	-84,2	-34,304	0,26978
47,49	-86,1	-32,355	0,16359
51,	-90,19	-26,491	-6,553e-002
48,631	-89,269	-29,445	-8,312e-002
48,557	-89,883	-27,515	-7,2264e-002
51,	-86,331	-27,492	0,37128
51,	-91,444	-21,773	-4,387e-002
48,631	-91,29	-22,407	-4,4727e-002
48,557	-90,567	-25,172	-5,89e-002
51,	-87,019	-25,15	0,38465
51,	-88,456	-21,254	0,35803
47,963	-88,259	-23,488	0,30941
51,	-92,451	-16,996	-2,544e-002
48,631	-91,841	-20,029	-3,643e-002
48,557	-92,252	-18,046	-2,9563e-002
51,	-89,022	-18,879	0,36633
51,	-93,209	-12,173	-1,2325e-002
48,631	-93,122	-12,819	-1,2668e-002
48,557	-92,689	-15,644	-1,9429e-002
51,	-89,562	-12,314	0,46937
51,	-89,463	-16,478	0,37646
49,432	-91,539	-13,352	0,19059
51,	-93,715	-7,3167	-3,7218e-003
48,631	-93,423	-10,397	-9,6864e-003
48,557	-93,626	-8,3818	-4,1993e-003
51,	-89,878	-9,8934	0,47235
49,432	-91,855	-10,932	0,19357
51,	-93,968	-2,4411	1,0859e-003
48,631	-93,949	-3,0931	2,0505e-003
48,557	-93,812	-5,9476	1,4221e-003
51,	-90,251	-2,7677	0,49712
51,	-90,068	-7,4597	0,47797
49,531	-91,981	-4,1561	0,26467
51,	-93,968	2,4411	7,0393e-004
48,631	-93,998	-0,65229	1,2367e-003
48,557	-93,99	1,3725	-7,973e-004
51,	-90,315	-0,32741	0,49631
