X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
82,587	35,45	-22,621	4,3292
82,93	33,308	-21,331	6,3782
82,	37,34	-25,015	2,0006
82,747	35,518	-24,357	8,5728
82,739	36,705	-24,902	8,1558
79,793	36,233	-24,537	1,3087
81,4	35,53	-22,57	3,0252
82,587	36,759	-23,329	3,9191
82,	40,153	-25,981	-3,0884
82,739	38,093	-25,459	6,3373
82,732	39,489	-25,93	5,3284
79,793	37,602	-25,12	-0,50975
78,395	40,767	-26,147	-7,3638
80,585	40,441	-23,626	-1,038
83,378	38,552	-25,202	4,2278
82,587	38,137	-23,889	2,1006
82,647	40,134	-24,976	1,0826
82,	43,056	-26,632	-5,1233
82,732	40,93	-26,331	2,0579
82,758	42,303	-26,647	0,89287
79,997	43,791	-26,744	-14,049
78,395	42,217	-26,478	-10,634
80,585	41,872	-24,031	-4,3085
82,04	43,508	-25,285	-5,514
82,647	41,565	-25,381	-2,1879
82,758	43,763	-26,891	2,1285
82,758	45,266	-27,057	1,3143
79,997	45,27	-26,908	-12,813
82,04	44,975	-25,53	-4,2783
122,4	17,152	-29,241	-1,1968
122,4	16,067	-29,851	0,90113
123,68	15,75	-30,019	-7,4187e-002
123,67	16,945	-29,361	0,1598
122,26	15,797	-28,527	0,9647
122,5	16,678	-28,276	-0,3727
123,04	15,135	-28,618	7,3255e-002
121,62	17,976	-28,742	-1,5297
120,41	17,99	-28,733	0,87835
120,22	18,983	-28,087	3,8109e-002
122,56	18,958	-28,103	-0,14631
120,51	18,028	-27,516	1,2224
121,48	18,034	-26,816	-1,4432
119,61	17,18	-29,224	-9,3683e-002
119,59	16,096	-29,835	-2,3265
118,03	16,653	-29,528	-1,2704
119,53	16,322	-28,546	-2,8306
120,37	15,249	-30,277	-1,0856
121,6	15,235	-30,284	0,83711
121,76	14,287	-30,743	0,22134
119,46	14,07	-30,842	-0,29034
121,31	15,143	-28,924	0,90067
122,28	14,385	-29,015	9,2311e-003
120,2	14,468	-29,22	-0,65607
123,11	18,722	-28,261	-1,4436
123,47	17,452	-29,062	-1,4704
122,37	17,219	-27,978	-2,0029
122,	17,728	-26,966	-2,7405
119,67	18,758	-28,237	1,1488
118,24	17,16	-29,236	0,81242
119,99	17,717	-27,659	2,3332
119,52	16,878	-28,25	-0,74784
118,91	14,321	-30,727	-1,6813
118,23	16,137	-29,813	-1,4204
120,69	15,144	-28,799	-0,49031
119,74	15,799	-28,827	-2,9807
119,65	14,714	-29,095	-2,047
122,31	14,525	-30,631	0,75309
123,47	15,229	-30,287	0,39354
121,87	15,389	-28,805	1,4324
122,84	14,62	-28,896	0,54098
122,4	16,067	29,851	1,4385
122,4	17,152	29,241	-0,61828
123,43	16,407	29,665	9,5412e-002
122,23	15,747	28,437	1,2668
122,5	16,685	28,152	3,5995e-003
121,6	15,235	30,284	0,74034
120,37	15,249	30,277	-1,421
121,86	14,618	30,586	-2,8216e-002
120,31	13,974	30,886	-0,62518
121,25	15,132	28,834	0,56858
119,92	14,159	29,174	-0,97907
119,59	16,095	29,835	-2,0037
119,61	17,18	29,224	0,17309
118,32	15,758	30,015	-0,92236
118,16	17,089	29,277	-1,18
119,53	16,325	28,538	-2,2329
120,41	17,989	28,733	1,2979
121,62	17,976	28,742	-0,77442
120,03	18,647	28,311	0,28925
121,47	18,97	28,095	-0,1809
120,56	18,045	27,501	1,5636
121,41	18,056	27,297	-1,1472
122,41	14,855	30,472	1,2156
123,23	15,892	29,944	0,64102
121,82	15,355	28,715	1,8124
119,76	14,225	30,771	-1,5427
118,51	15,234	30,284	-1,2571
120,63	15,157	28,709	-0,34895
119,74	15,802	28,819	-2,5677
119,37	14,405	29,049	-1,8966
119,48	18,42	28,459	1,0065
118,37	17,592	28,978	0,66211
120,02	17,751	27,644	2,2809
119,52	16,881	28,242	-0,39084
122,01	18,734	28,253	-1,5359
123,24	16,92	29,376	-1,4158
124,46	18,852	28,175	-0,99631
122,37	17,225	27,855	-1,5076
121,94	17,777	27,447	-2,5023
122,91	17,327	27,117	-1,3046
123,57	16,93	28,	-1,3986
106,	-1,4995	-33,867	-0,83407
106,	1,4995	-33,867	0,16713
105,23	0,70984	-34,045	0,23795
105,23	-0,70984	-34,045	0,40725
108,	-0,74994	-33,892	-0,73544
106,45	-0,87111	-32,461	-0,37011
104,92	0,70256	-32,817	0,35752
105,13	-1,3474	-33,26	0,42337
106,	-4,4868	-33,602	-2,2425
105,23	-3,6166	-33,86	-0,37706
105,23	-2,2021	-33,981	-0,65216
108,	-2,2483	-33,825	-1,7949
106,45	-2,3692	-32,395	-1,4295
105,13	-2,8455	-33,194	-0,63605
106,	-7,439	-33,074	-2,8369
105,26	-6,5781	-33,4	-0,42257
105,24	-5,0978	-33,668	-0,72608
108,	-3,7424	-33,693	-2,1439
110,47	-5,9687	-33,37	-3,2826
108,21	-5,9961	-30,458	-2,2292
106,45	-3,8555	-32,196	-1,7786
105,13	-4,3318	-32,995	-0,98507
104,82	-5,8209	-32,112	-0,53916
106,	-10,333	-32,287	-2,9374
105,26	-9,4303	-32,711	0,12475
105,26	-8,049	-33,077	-0,66793
107,98	-10,272	-32,306	-4,3923
110,47	-7,439	-33,074	-3,5279
108,21	-7,4591	-30,129	-2,4745
106,86	-10,92	-30,219	-2,6657
104,91	-9,2884	-31,483	-9,9287e-002
104,82	-7,2839	-31,783	-0,78452
106,	-13,146	-31,247	-4,3802
105,25	-12,208	-31,78	2,143
105,26	-10,868	-32,262	0,26957
107,98	-11,691	-31,82	-4,2475
106,86	-12,349	-29,762	-2,5209
105,21	-13,13	-30,052	0,20783
104,91	-10,717	-31,026	4,5534e-002
106,	-15,856	-29,963	-5,0667
105,26	-14,968	-30,572	2,9511
105,25	-13,602	-31,209	0,55544
107,98	-13,087	-31,272	-5,8351
108,02	-17,155	-29,239	-6,4245
106,86	-13,731	-29,181	-4,1084
105,21	-14,512	-29,471	-1,3797
106,	-18,442	-28,445	-4,9018
105,24	-17,526	-29,193	3,7321
105,26	-16,306	-29,88	3,8521
108,02	-18,431	-28,452	-5,5235
105,02	-17,996	-27,921	0,44477
106,29	-17,659	-27,368	-3,3868
106,86	-15,056	-28,479	-3,2074
105,21	-15,838	-28,769	-0,47869
106,	-20,884	-26,703	-5,5576
105,24	-20,714	-27,022	2,642
105,13	-19,786	-27,774	3,2848
105,24	-18,8	-28,39	2,996
108,02	-19,672	-27,609	-6,2597
105,02	-19,254	-27,105	-0,2914
106,29	-18,918	-26,553	-4,123
106,	-23,162	-24,753	-5,693
105,27	-22,957	-25,133	2,382
105,24	-21,889	-26,08	2,7224
108,02	-20,874	-26,712	-6,1793
108,02	-24,229	-23,71	-6,0873
106,56	-21,862	-23,37	-4,1453
105,02	-20,435	-26,182	-0,21102
106,29	-20,099	-25,629	-4,0426
105,27	-21,857	-24,77	-1,384
106,	-25,259	-22,609	-5,8116
105,25	-25,092	-23,01	1,8026
105,27	-24,047	-24,093	2,1662
108,02	-25,254	-22,615	-6,3031
106,56	-22,957	-22,345	-4,3611
105,16	-24,281	-23,029	-0,46825
105,27	-22,951	-23,745	-1,5998
106,	-27,159	-20,288	-6,5534
105,25	-26,98	-20,763	1,8677
105,25	-26,085	-21,878	1,8998
108,02	-26,23	-21,476	-6,2059
106,56	-23,957	-21,228	-4,2639
105,34	-25,7	-20,425	-1,8939
105,16	-25,282	-21,912	-0,37104
106,9	-25,968	-18,96	-4,4967
106,	-28,846	-17,809	-6,4873
105,26	-28,659	-18,373	0,93378
105,25	-27,872	-19,55	1,0287
108,02	-27,154	-20,295	-7,045
108,02	-29,602	-16,522	-6,7709
105,1	-28,066	-17,47	-1,4787
105,34	-26,598	-19,224	-2,7329
106,9	-26,865	-17,759	-5,3357
106,02	-28,405	-16,57	-5,1187
106,	-30,307	-15,189	-7,3596
105,24	-30,179	-15,771	1,8326
105,26	-29,443	-17,087	1,839
108,02	-30,303	-15,196	-5,8657
105,1	-28,854	-16,194	-0,57351
106,02	-29,192	-15,294	-4,2135
106,	-31,53	-12,452	-7,6925
105,24	-31,417	-13,134	-0,15423
105,23	-30,843	-14,433	5,5089e-002
108,02	-30,946	-13,841	-7,6432
107,32	-29,626	-12,389	-6,3404
105,54	-30,624	-13,416	-4,0365
106,02	-29,864	-13,953	-5,9911
