29,	25,259	22,609	1,369
29,	27,159	20,288	2,2673
29,	28,846	17,809	1,9348
29,	30,307	15,189	1,8675
29,	31,53	12,452	2,1781
29,	32,508	9,6161	1,4198
29,	33,23	6,7055	0,84426
29,	33,693	3,7424	0,49102
29,	33,892	0,74994	0,21494
29,	33,825	-2,2483	-0,44721
29,	33,494	-5,229	-1,0161
29,	32,901	-8,1688	-1,2718
29,	32,05	-11,045	-1,831
29,	30,949	-13,834	-2,1135
29,	29,605	-16,515	-2,5669
29,	28,03	-19,067	-2,2217
29,	26,235	-21,47	-2,1006
29,	24,235	-23,704	-1,2059
29,	22,045	-25,753	-1,3136
29,	19,682	-27,601	-0,94346
29,	17,166	-29,232	-0,53799
29,	14,515	-30,635	-0,15887
29,	11,751	-31,798	-9,9859e-002
29,	8,8946	-32,712	3,4209e-002
29,	5,9687	-33,37	9,099e-002
29,	2,9961	-33,767	7,0568e-002
0,	4,1516e-015	-33,9	8,2261e-002
0,	4,9359	-33,539	-0,12356
0,	9,7666	-32,463	-0,2356
0,	14,389	-30,695	-0,26023
0,	18,705	-28,273	-0,22057
0,	22,622	-25,248	-9,1699e-002
0,	26,057	-21,685	5,738e-002
0,	28,937	-17,66	0,18524
0,	31,2	-13,258	0,23877
0,	32,798	-8,5744	0,19647
0,	33,697	-3,7077	0,10182
0,	33,877	1,2381	-3,6305e-002
0,	33,336	6,1575	-0,15886
0,	32,084	10,946	-0,23494
0,	30,149	15,501	-0,21985
0,	27,571	19,725	-0,1294
0,	24,405	23,529	2,2392e-002
0,	20,719	26,832	0,16954
0,	16,591	29,562	0,24977
0,	12,11	31,663	0,26931
0,	7,3709	33,089	0,17227
0,	2,4745	33,81	3,1494e-002
0,	-2,4745	33,81	-0,16753
0,	-7,3709	33,089	-0,20894
0,	-12,11	31,663	-0,41386
0,	-16,591	29,562	-0,37657
0,	-20,719	26,832	-0,25772
0,	-24,405	23,529	-0,24065
0,	-27,571	19,725	-0,23418
0,	-30,149	15,501	7,0953e-004
0,	-32,084	10,946	3,3702e-002
0,	-33,336	6,1575	-0,17222
0,	-33,877	1,2381	-0,18065
0,	-33,697	-3,7077	6,3389e-002
0,	-32,798	-8,5744	-1,4591e-002
0,	-31,2	-13,258	-2,5387e-002
0,	-28,937	-17,66	0,11749
0,	-26,057	-21,685	0,14568
0,	-22,622	-25,248	0,26458
0,	-18,705	-28,273	0,3798
0,	-14,389	-30,695	0,37601
0,	-9,7666	-32,463	0,31929
0,	-4,9359	-33,539	0,30989
31,	4,3965e-015	-35,9	-0,23638
31,	2,9646	-35,777	-0,11315
31,	5,9089	-35,41	5,1727e-003
31,	8,8129	-34,801	6,5512e-002
31,	11,657	-33,955	0,23536
31,	14,421	-32,876	0,457
31,	17,087	-31,573	0,70124
31,	19,635	-30,054	1,2504
31,	22,05	-28,33	1,5326
31,	24,314	-26,412	1,5767
31,	26,412	-24,314	2,1373
31,	28,33	-22,05	2,4615
31,	30,054	-19,635	2,4666
31,	31,573	-17,087	2,28
31,	32,876	-14,421	2,4231
31,	33,955	-11,657	2,3914
31,	34,801	-8,8129	1,4479
31,	35,41	-5,9089	1,0462
31,	35,777	-2,9646	0,60344
31,	35,9	3,4084e-014	5,1876e-003
31,	35,777	2,9646	-0,69087
31,	35,41	5,9089	-1,2212
31,	34,801	8,8129	-1,4538
31,	33,955	11,657	-2,0392
31,	32,876	14,421	-2,3293
31,	31,573	17,087	-2,5456
31,	30,054	19,635	-2,5016
31,	28,33	22,05	-2,3855
31,	26,412	24,314	-1,8327
31,	24,314	26,412	-1,7069
31,	22,05	28,33	-1,3302
31,	19,635	30,054	-1,0592
31,	17,087	31,573	-0,66966
31,	14,421	32,876	-0,4316
31,	11,657	33,955	-0,20444
31,	8,8129	34,801	-7,5346e-002
31,	5,9089	35,41	2,1918e-002
31,	2,9646	35,777	0,13359
31,	-4,597e-014	35,9	0,26835
