0,	-7,3709	33,089	4,1531e-002
0,	-12,11	31,663	-5,2105e-003
0,	-16,591	29,562	-2,4188e-002
0,	-20,719	26,832	-3,3824e-002
0,	-24,405	23,529	1,8825e-002
0,	-27,571	19,725	-0,10645
0,	-30,149	15,501	-0,14661
0,	-32,084	10,946	-3,4482e-002
0,	-33,336	6,1575	-0,2705
0,	-33,877	1,2381	-0,19158
0,	-33,697	-3,7077	-0,11153
0,	-32,798	-8,5744	-8,5886e-002
0,	-31,2	-13,258	-7,6257e-002
0,	-28,937	-17,66	-7,4098e-002
0,	-26,057	-21,685	-0,11639
0,	-22,622	-25,248	-1,7205e-002
0,	-18,705	-28,273	4,6978e-002
0,	-14,389	-30,695	-3,0553e-002
0,	-9,7666	-32,463	4,4784e-004
0,	-4,9359	-33,539	3,8237e-002
31,	4,3965e-015	-35,9	-4,4635e-002
31,	2,9646	-35,777	-1,2114e-002
31,	5,9089	-35,41	-3,7268e-002
31,	8,8129	-34,801	-4,8691e-002
31,	11,657	-33,955	-5,4374e-002
31,	14,421	-32,876	-4,696e-002
31,	17,087	-31,573	-0,14179
31,	19,635	-30,054	2,2269e-002
31,	22,05	-28,33	-0,44852
31,	24,314	-26,412	-1,2016
31,	26,412	-24,314	-0,93454
31,	28,33	-22,05	-2,7707
31,	30,054	-19,635	-1,6705
31,	31,573	-17,087	-3,0431
31,	32,876	-14,421	-2,8597
31,	33,955	-11,657	-2,7277
31,	34,801	-8,8129	-2,8513
31,	35,41	-5,9089	-7,945
31,	35,777	-2,9646	-2,123
31,	35,9	3,4084e-014	-6,6901
31,	35,777	2,9646	-1,6308
31,	35,41	5,9089	-3,2542
31,	34,801	8,8129	-3,1956
31,	33,955	11,657	-2,3611
31,	32,876	14,421	-2,5628
31,	31,573	17,087	-3,4147
31,	30,054	19,635	-1,0027
31,	28,33	22,05	-2,601
31,	26,412	24,314	-1,2761
31,	24,314	26,412	-1,463
31,	22,05	28,33	-0,84206
31,	19,635	30,054	-0,19415
31,	17,087	31,573	-0,13554
31,	14,421	32,876	5,2516e-003
31,	11,657	33,955	5,2233e-003
31,	8,8129	34,801	-9,1316e-002
31,	5,9089	35,41	-6,1632e-002
31,	2,9646	35,777	-3,6924e-002
31,	-4,597e-014	35,9	-7,7976e-002
31,	-2,9646	35,777	3,5878e-002
31,	-5,9089	35,41	0,11454
31,	-8,8129	34,801	7,4581e-003
31,	-11,657	33,955	0,22716
31,	-14,421	32,876	1,0563
31,	-17,087	31,573	1,1235
31,	-19,635	30,054	1,6642
31,	-22,05	28,33	2,3831
31,	-24,314	26,412	0,72794
31,	-26,412	24,314	2,0212
31,	-28,33	22,05	2,7375
31,	-30,054	19,635	1,6029
31,	-31,573	17,087	2,8975
31,	-32,876	14,421	1,3665
31,	-33,955	11,657	2,2779
31,	-34,801	8,8129	1,2138
31,	-35,41	5,9089	1,9555
31,	-35,777	2,9646	1,4399
31,	-35,9	-6,1573e-014	1,2696
31,	-35,777	-2,9646	1,2206
31,	-35,41	-5,9089	1,6813
31,	-34,801	-8,8129	1,8783
31,	-33,955	-11,657	2,4836
31,	-32,876	-14,421	1,891
31,	-31,573	-17,087	2,1376
31,	-30,054	-19,635	1,2712
31,	-28,33	-22,05	2,4085
31,	-26,412	-24,314	1,8353
31,	-24,314	-26,412	1,8847
31,	-22,05	-28,33	1,5124
31,	-19,635	-30,054	2,0424
31,	-17,087	-31,573	3,5271
31,	-14,421	-32,876	0,64308
31,	-11,657	-33,955	8,9157e-003
31,	-8,8129	-34,801	0,79464
31,	-5,9089	-35,41	9,2505e-002
31,	-2,9646	-35,777	-3,0044e-002
31,	41,983	30,245	-2,8539e-002
31,	41,983	-30,245	-8,8971e-002
31,	41,983	25,592	6,2954e-002
31,	41,983	20,939	3,1199e-002
31,	41,983	16,286	0,15096
31,	41,983	11,633	0,16313
31,	41,983	6,9797	0,12197
31,	41,983	2,3266	0,42354
31,	41,983	-2,3266	0,8122
31,	41,983	-6,9797	0,13868
31,	41,983	-11,633	9,6752e-002
31,	41,983	-16,286	1,0355e-002
31,	41,983	-20,939	5,9162e-002
31,	41,983	-25,592	6,3034e-002
31,	38,81	-31,598	-5,7695e-002
31,	5,3602	-36,509	-4,6589e-002
31,	34,031	-32,299	0,165
31,	29,253	-33,001	0,3933
31,	24,474	-33,702	0,1461
31,	19,696	-34,404	-4,0314e-002
31,	14,917	-35,105	-4,3077e-002
31,	10,139	-35,807	-0,11708
31,	-17,039	-32,731	1,9144
31,	-12,82	-34,602	-0,55089
31,	-8,4004	-35,931	0,14215
31,	-3,8497	-36,699	4,3217e-002
31,	0,76119	-36,892	-5,9212e-002
31,	-43,404	-83,379	-2,4722e-003
31,	-41,207	-79,158	4,8414e-003
31,	-39,01	-74,938	2,3701e-003
31,	-36,813	-70,717	-6,0228e-003
31,	-34,616	-66,496	-1,1082e-002
31,	-32,419	-62,276	-3,7934e-003
31,	-30,221	-58,055	-8,526e-003
31,	-28,024	-53,834	-8,1249e-004
31,	-25,827	-49,613	-1,6223e-002
31,	-23,63	-45,393	-6,5962e-002
31,	-21,433	-41,172	-0,19306
31,	-19,236	-36,951	-0,50786
31,	-43,404	83,379	-3,4679e-003
31,	-47,675	-81,013	-1,7545e-003
31,	-51,817	-78,428	2,1782e-003
31,	-55,819	-75,632	1,9595e-004
31,	-59,671	-72,632	-4,7318e-004
31,	-63,361	-69,436	-6,5275e-004
31,	-66,881	-66,052	-3,9912e-003
31,	-70,22	-62,491	7,2895e-004
31,	-73,37	-58,761	8,1529e-006
31,	-76,322	-54,872	-1,1827e-003
31,	-79,068	-50,835	-4,6417e-004
31,	-81,601	-46,661	-6,4868e-004
31,	-83,914	-42,362	1,1286e-003
31,	-86,	-37,948	-1,444e-003
31,	-87,854	-33,431	-2,767e-004
31,	-89,471	-28,825	5,4929e-004
31,	-90,847	-24,14	-1,1907e-003
31,	-91,978	-19,391	5,3917e-004
31,	-92,861	-14,589	2,0174e-005
